"ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","de_expression"
"ENSG00000174876","AMY1B",-1.21745411795475,1.08510561968813,3.31851872828941,0.0685035249293202,0.275590635232095,0
"ENSG00000171843","MLLT3",0.603114290736854,4.36651278070049,3.31733368936794,0.0685529253683812,0.275661953519588,0
"ENSG00000184307","ZDHHC23",0.551093168356614,4.73194485769268,3.31650419919123,0.0685875268019434,0.275735549170265,0
"ENSG00000122484","RPAP2",0.403036759334154,4.92703033464145,3.3152256895348,0.0686408952718406,0.275747233504972,0
"ENSG00000179141","MTUS2-AS1",1.88182948148174,-1.00043151563932,3.3159513236347,0.0686105998820492,0.275747233504972,0
"ENSG00000242871",NA,-2.27357426070054,-0.653934733256074,3.31487281010668,0.06865563324011,0.275747233504972,0
"ENSG00000257568","",-1.8354077649603,1.38520469518221,3.31511151766983,0.0686456632761049,0.275747233504972,0
"ENSG00000268218","",0.646890659284278,3.39689790015726,3.31418744177373,0.0686842672418355,0.275796759774538,0
"ENSG00000013588","GPRC5A",0.536214861162294,9.69093794519024,3.31135137714372,0.0688028910650053,0.276207524477146,0
"ENSG00000143387","CTSK",0.602356028969677,4.09698367915699,3.30974246804766,0.0688702841893338,0.276346915946622,0
"ENSG00000272250",NA,1.69456103517202,-0.125988511228872,3.30976956231795,0.068869148694539,0.276346915946622,0
"ENSG00000077274","CAPN6",0.821063535481434,6.0580100569547,3.30848199117503,0.0689231317105703,0.276362317882844,0
"ENSG00000198034","RPS4X",-0.472512134077156,10.7308923544902,3.30868000675789,0.0689148267167509,0.276362317882844,0
"ENSG00000250892","",1.17027023041624,-0.554099988312525,3.30874926219748,0.0689119223193064,0.276362317882844,0
"ENSG00000086062","B4GALT1",-0.760702148499804,9.159411607346,3.30803149564369,0.0689420299839669,0.276372587971272,0
"ENSG00000121898","CPXM2",-1.26864434297104,-0.494764907902066,3.30762151735146,0.0689592333792544,0.27637606043043,0
"ENSG00000173546","CSPG4",0.968347324852596,0.011686198021837,3.30599074048758,0.0690277090721701,0.27658497261343,0
"ENSG00000272084","",-1.01466525897254,0.590727255194227,3.30429345969311,0.0690990545139114,0.27680528184036,0
"ENSG00000241878","PISD",0.415609467899609,5.71722437036659,3.30347108237793,0.0691336516374459,0.276878310783777,0
"ENSG00000084636","COL16A1",-1.1991273423564,1.01838221741612,3.30292432079341,0.0691566639630747,0.276904919352269,0
