"","ensembl_gene_id","hgnc_symbol"
"305","ENSG00000207056","RNU1-8P"
"306","ENSG00000237402","CAMTA1-IT1"
"307","ENSG00000237728","CAMTA1-AS2"
"308","ENSG00000225126","CAMTA1-AS1"
"309","ENSG00000270171",""
"310","ENSG00000270035",""
"311","ENSG00000269978",""
"312","ENSG00000049245","VAMP3"
"313","ENSG00000269925",""
"314","ENSG00000049246","PER3"
"315","ENSG00000236266",""
"316","ENSG00000049247","UTS2"
"317","ENSG00000049249","TNFRSF9"
"318","ENSG00000270330",""
"319","ENSG00000116288","PARK7"
"320","ENSG00000200344",""
"321","ENSG00000284747",""
"322","ENSG00000284716",""
"323","ENSG00000116285","ERRFI1"
"324","ENSG00000238290",""
"325","ENSG00000232848",""
"326","ENSG00000229305",""
"327","ENSG00000227634","LINC01714"
"328","ENSG00000200975","RNU1-7P"
"329","ENSG00000233645",""
"330","ENSG00000251977","RNU6-991P"
"331","ENSG00000162426","SLC45A1"
"332","ENSG00000252254",""
"333","ENSG00000142599","RERE"
"334","ENSG00000232912","RERE-AS1"
"335","ENSG00000221083",""
"336","ENSG00000270282",""
"337","ENSG00000234619","RPL7P11"
"338","ENSG00000224315","RPL7P7"
"339","ENSG00000222511",""
"340","ENSG00000226545",""
"341","ENSG00000228423",""
"342","ENSG00000229716","RPL23AP19"
"343","ENSG00000074800","ENO1"
"344","ENSG00000274258","MIR6728"
"345","ENSG00000230679","ENO1-AS1"
"346","ENSG00000201725","RNU6-304P"
"347","ENSG00000238249","HMGN2P17"
"348","ENSG00000232208",""
"349","ENSG00000232663",""
"350","ENSG00000131686","CA6"
"351","ENSG00000265141","RN7SL451P"
"352","ENSG00000197241","SLC2A7"
"353","ENSG00000142583","SLC2A5"
"354","ENSG00000252404",""
"355","ENSG00000180758","GPR157"
"356","ENSG00000228526","MIR34AHG"
"357","ENSG00000284357","MIR34A"
"358","ENSG00000234546","LNCTAM34A"
"359","ENSG00000049239","H6PD"
"360","ENSG00000171621","SPSB1"
"361","ENSG00000284652",""
"362","ENSG00000284693","LINC02606"
"363","ENSG00000252956","RNA5SP40"
"364","ENSG00000235263",""
"365","ENSG00000171612","SLC25A33"
"366","ENSG00000231181",""
"367","ENSG00000188807","TMEM201"
"368","ENSG00000171608","PIK3CD"
"369","ENSG00000179840","PIK3CD-AS1"
"370","ENSG00000233268",""
"371","ENSG00000231789","PIK3CD-AS2"
"372","ENSG00000171603","CLSTN1"
"373","ENSG00000271264","MZT1P1"
"374","ENSG00000280113",""
"375","ENSG00000178585","CTNNBIP1"
"376","ENSG00000223989",""
"377","ENSG00000285701",""
"378","ENSG00000162441","LZIC"
"379","ENSG00000228150",""
"380","ENSG00000173614","NMNAT1"
"381","ENSG00000202415","RN7SKP269"
"382","ENSG00000283611","TMEM274P"
"383","ENSG00000265521","MIR5697"
"384","ENSG00000241326",""
"385","ENSG00000162444","RBP7"
"386","ENSG00000130939","UBE4B"
"387","ENSG00000224340",""
"388","ENSG00000233623","PGAM1P11"
