"ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*H441_SUB -1*SALI"
"ENSG00000145632","PLK2",0.19684913527016,5.57299868941526,0.349994532050705,0.55411622535897,0.779365346214665,0
"ENSG00000198862","LTN1",-0.235406249976563,5.57949826686634,0.35039006209233,0.55389240840689,0.779365346214665,0
"ENSG00000268891",NA,-0.502049842416388,2.05359935828114,0.350577276369432,0.553786529711633,0.779365346214665,0
"ENSG00000266993","",0.252015299940161,1.5849306287472,0.349664326303524,0.554303208324337,0.779548897625077,0
"ENSG00000147140","NONO",0.194336525472597,8.71905183932041,0.349538234001443,0.55437464104333,0.779569923146209,0
"ENSG00000130477","UNC13A",0.264317929694335,0.390077033628645,0.349047548791027,0.554652785370567,0.779665123590075,0
"ENSG00000153048","CARHSP1",0.160067623568723,6.15938283569653,0.348978393019948,0.554692007440259,0.779665123590075,0
"ENSG00000183060","LYSMD4",0.148082928920027,4.62021304791844,0.348920603232006,0.554724787252176,0.779665123590075,0
"ENSG00000244617","ASPRV1",0.271054890772673,0.933294815185782,0.349050634420088,0.554651035461511,0.779665123590075,0
"ENSG00000266538","",0.488611954410752,2.7409122450529,0.349272098447663,0.554525466949761,0.779665123590075,0
"ENSG00000119541","VPS4B",-0.204241085930002,6.1207012594839,0.34878129723495,0.554803820149816,0.779696805387207,0
"ENSG00000165219","GAPVD1",-0.115861729187525,6.67120849345372,0.348622268019815,0.554894068707761,0.779744241122431,0
"ENSG00000197782","ZNF780A",0.193007041678453,3.28529950005934,0.348385855565084,0.555028283322358,0.779797632513239,0
"ENSG00000228395","",0.336910781183792,0.454124662097428,0.348356308850811,0.555045061716422,0.779797632513239,0
"ENSG00000212978","",0.204997767133943,2.79488629952386,0.347977291887982,0.555260375382284,0.780020732928884,0
"ENSG00000073536","NLE1",-0.15855843302037,5.30297495062402,0.347443475978515,0.555563896168683,0.780288276678555,0
"ENSG00000215283","HMGB3P24",0.240950569009691,0.88127725228383,0.347452882752119,0.555558544880693,0.780288276678555,0
"ENSG00000101132","PFDN4",0.14698410741424,5.42414742421741,0.34717639802267,0.555715871157612,0.780296071308757,0
"ENSG00000115685","PPP1R7",-0.146883341000471,6.93405457925893,0.347209028790648,0.555697299095802,0.780296071308757,0
"ENSG00000149091","DGKZ",0.138195608612179,6.7051332046717,0.347135674487024,0.555739050932117,0.780296071308757,0
"ENSG00000226363","HAGLROS",0.402282370456871,0.145295575237889,0.346933379947345,0.555854223831279,0.780378394600682,0
"ENSG00000247498","GPRC5D-AS1",-0.146788725314919,3.30720068114116,0.346323966177155,0.556201456581454,0.780786462951304,0
"ENSG00000092208","GEMIN2",-0.142972792541039,4.65616576733664,0.346186644729922,0.556279756595115,0.780815058401271,0
"ENSG00000104880","ARHGEF18",0.128218106632232,5.52581888357632,0.345816461189616,0.556490937615268,0.780815058401271,0
"ENSG00000111057","KRT18",-0.15582184550368,11.0159277679765,0.345757772508478,0.556524432099431,0.780815058401271,0
"ENSG00000133318","RTN3",-0.165403237082837,8.01166371339368,0.345594148216506,0.556617835068113,0.780815058401271,0
"ENSG00000156006","NAT2",0.218102972701399,1.71712143369663,0.345746377683732,0.556530935735173,0.780815058401271,0
"ENSG00000188997","KCTD21",0.120439680893181,5.00847939346712,0.345776528306076,0.556513727476962,0.780815058401271,0
"ENSG00000233937","",-0.260067402138813,3.64296913072906,0.34567887950266,0.556569463513863,0.780815058401271,0
"ENSG00000227741","",0.324966804428899,-0.0868817347550658,0.345453955920258,0.556697885832123,0.78084798986331,0
"ENSG00000171202","TMEM126A",-0.165510787496165,4.43754181549047,0.345303249711279,0.556783964490519,0.780889368752988,0
"ENSG00000113328","CCNG1",-0.253588682337352,6.65046203321757,0.345041231065828,0.556933681499595,0.780940635178037,0
"ENSG00000160972","PPP1R16A",-0.177885980800985,6.12018255517338,0.345122962187045,0.556886972272141,0.780940635178037,0
"ENSG00000052723","SIKE1",-0.159755927591915,5.42538537125928,0.344674856293523,0.557143155677177,0.781155001488866,0
"ENSG00000164920","OSR2",0.180200733444228,3.31659907749039,0.344412771120513,0.557293094315067,0.781285859597415,0
"ENSG00000243449","C4orf48",-0.312888718403676,4.72949264266649,0.344201927830287,0.55741377320858,0.781375675180258,0
"ENSG00000150456","EEF1AKMT1",0.162354533774083,3.05528598938998,0.344050400405049,0.557500532584435,0.781417929392746,0
"ENSG00000104885","DOT1L",0.118344981043006,6.52890953159378,0.343845312627511,0.557617999676842,0.781440267574144,0
"ENSG00000155438","NIFK",-0.135701718322291,6.45910647043502,0.343824879732219,0.557629705501938,0.781440267574144,0
"ENSG00000208317",NA,-0.278235543234997,0.837950794050866,0.343457576917253,0.557840209799322,0.781655896005101,0
"ENSG00000159592","GPBP1L1",0.185138662441748,7.42532067128623,0.343190268736933,0.557993501432091,0.781791321364909,0
"ENSG00000119725","ZNF410",0.250558083358143,1.79654709736543,0.343075744199346,0.55805920167591,0.781804009493597,0
"ENSG00000114166","KAT2B",-0.237910029915929,3.94139945267426,0.34247110595367,0.558406313860029,0.782131514501332,0
"ENSG00000162482","AKR7A3",0.284601887538348,2.47098551249509,0.342552222446827,0.558359722424915,0.782131514501332,0
"ENSG00000176920","FUT2",0.143916972793872,5.18874449338949,0.342231673464418,0.558543881550932,0.782244815136069,0
"ENSG00000146411","SLC2A12",-0.344431409231637,3.61296128785853,0.341952475015557,0.558704378662971,0.782390202344392,0
"ENSG00000164463","CREBRF",-0.115086522633328,5.43495993836664,0.341702842826303,0.558847954093459,0.782458911136605,0
"ENSG00000256603","",-0.510693603943524,0.768939598348024,0.341670037949264,0.558866826980485,0.782458911136605,0
"ENSG00000130699","TAF4",0.171157962513203,6.14089829828912,0.34137796788173,0.559034910649106,0.782535480403546,0
"ENSG00000271771","",0.572332706319158,3.33189086591323,0.341414829918051,0.559013691564975,0.782535480403546,0
"ENSG00000168496","FEN1",-0.161103476535261,5.56396862552828,0.341160214818256,0.559160288328361,0.782631609320357,0
"ENSG00000078668","VDAC3",-0.146415104399726,7.44881780387886,0.340808044205122,0.559363174455322,0.782759367371276,0
"ENSG00000271816","",-0.34075273826472,0.541340405640576,0.340804887790433,0.559364993506948,0.782759367371276,0
"ENSG00000100567","PSMA3",-0.106781013930824,7.45375973445058,0.340616537135962,0.559473561027395,0.782831923083952,0
"ENSG00000100796","PPP4R3A",0.148234278010581,7.2015230933601,0.340384614718353,0.559607299117659,0.782939679921128,0
"ENSG00000258745","",-0.326541559731731,0.608301124537017,0.340258797112995,0.559679877408896,0.782961855665679,0
"ENSG00000172586","CHCHD1",-0.156358053485139,5.07479646296286,0.339639230610519,0.560037538888391,0.783144692171994,0
"ENSG00000183208","GDPGP1",0.167840343650877,3.45005348644208,0.339804613185224,0.55994202459778,0.783144692171994,0
"ENSG00000197566","ZNF624",0.250660458580262,2.25856958861242,0.339736907044585,0.559981123524995,0.783144692171994,0
"ENSG00000213280","",-0.402900826308521,-0.0519038871188295,0.339890010828238,0.559892716627516,0.783144692171994,0
"ENSG00000115233","PSMD14",-0.180201096163577,6.22397060614512,0.339233765841936,0.56027184102327,0.783154947316505,0
"ENSG00000121879","PIK3CA",0.211200266950232,5.59529450862194,0.339285212123869,0.560242101856534,0.783154947316505,0
"ENSG00000139719","VPS33A",-0.136188974432908,4.57173855837607,0.339451735412936,0.560145861688018,0.783154947316505,0
"ENSG00000259687","LINC01220",-0.26963570758492,-0.00922104473880776,0.33936790057397,0.560194309090295,0.783154947316505,0
"ENSG00000100592","DAAM1",-0.149349561092824,7.00844206786051,0.338848788619959,0.560494477826044,0.783386813463804,0
"ENSG00000250290","NCAPGP1",-0.36536702783742,4.73357031351181,0.33841358325817,0.560746366144938,0.783659512508347,0
