"","ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*KO_SALI -1*SALI"
"1240","ENSG00000092203","TOX4",0.0521216676189685,6.91667220032415,0.0383135301934878,0.844814908970447,0.997540545774586,0
"1241","ENSG00000092208","GEMIN2",0.0412950481825823,4.65616576733664,0.028473073229593,0.866001421016158,0.997540545774586,0
"1242","ENSG00000092295","TGM1",0.154916194435982,3.42906646921682,0.18089209396852,0.670607707399851,0.997540545774586,0
"1243","ENSG00000092421","SEMA6A",0.145294051211958,2.48826662044398,0.0664170806451949,0.796626779757332,0.997540545774586,0
"1246","ENSG00000092531","SNAP23",-0.196377908623708,4.5477385614633,0.247774039069366,0.618646824445634,0.997540545774586,0
"1248","ENSG00000092841","MYL6",-0.185470626437144,9.83428494694832,0.294843660508562,0.58713318765429,0.997540545774586,0
"1252","ENSG00000092931","MFSD11",0.051640901146226,5.3743384836444,0.0604255913239182,0.805824536236663,0.997540545774586,0
"1254","ENSG00000092969","TGFB2",0.295392709381504,0.881009943776433,0.28731464323775,0.591946531346896,0.997540545774586,0
"1256","ENSG00000093000","NUP50",-0.153870701102698,6.93014292534614,0.495847316054437,0.481330480646247,0.997540545774586,0
"1257","ENSG00000093009","CDC45",-0.21582975532117,4.93488084583594,0.360785759501809,0.54807016835207,0.997540545774586,0
"1258","ENSG00000093144","ECHDC1",-0.167920664736093,5.86013003603903,0.315556684763539,0.574290230983661,0.997540545774586,0
"1259","ENSG00000093167","LRRFIP2",0.040937607431263,5.9629122788426,0.0459419918748285,0.830281279228016,0.997540545774586,0
"1261","ENSG00000094804","CDC6",0.0825150217655692,4.8619260705772,0.0863616794029376,0.768854509358604,0.997540545774586,0
"1262","ENSG00000094841","UPRT",-0.145713256605829,3.97099324454339,0.158768551088478,0.690292821408863,0.997540545774586,0
"1264","ENSG00000094914","AAAS",-0.052853523623162,7.00998031071495,0.0479448127478861,0.826678839173585,0.997540545774586,0
"1265","ENSG00000094975","SUCO",0.0719503279562403,6.66030384980166,0.0786318061499145,0.779160178040696,0.997540545774586,0
"1268","ENSG00000095139","ARCN1",-0.24844868898579,7.61860735913673,0.353610484733096,0.552076403582391,0.997540545774586,0
"1270","ENSG00000095209","TMEM38B",-0.170810267736997,3.95773742297207,0.124043494580054,0.724689709280131,0.997540545774586,0
"1272","ENSG00000095319","NUP188",-0.0886602321390763,6.29346350532822,0.149938274354625,0.698594352511599,0.997540545774586,0
"1274","ENSG00000095380","NANS",-0.0418275039947298,5.9614879164302,0.0387194596127109,0.844005486959148,0.997540545774586,0
"1275","ENSG00000095383","TBC1D2",-0.0943269714601457,4.55210817648764,0.1256315472598,0.723005109769592,0.997540545774586,0
"1276","ENSG00000095464","PDE6C",0.326487162725176,0.652176747988148,0.473265042883702,0.491488918547115,0.997540545774586,0
"1283","ENSG00000095787","WAC",-0.0621636296279247,6.83422921395595,0.0682188917291811,0.793947944404495,0.997540545774586,0
